title,top_1_name,top_2_name,top_3_name,top_4_name,top_5_name,top_1_score,top_2_score,top_3_score,top_4_score,top_5_score
Invictus,Mandela: Long Walk to Freedom,Goodbye Bafana,Cry Freedom,Winnie Mandela,Zulu,0.31633984698640905,0.17697132228432216,0.1622768932042467,0.149402508151629,0.12207665633323059
State of Play,AVP: Alien vs. Predator,Never Back Down 2: The Beatdown,Real Steel,Skyfall,London,0.09688439461119772,0.09008416539997513,0.06994807349672005,0.06560881870951252,0.06287945654017715
Duplicity,They Came Together,The Apartment,In Good Company,How Do You Know,Wall Street,0.14068234213117084,0.10426579147563564,0.10312868987774634,0.09431533990747754,0.08845332380870904
My Favorite Martian,Dinner for Schmucks,Outside Providence,About Time,Boogeyman,Spaced Invaders,0.18480262887683152,0.15502841159300834,0.15473422555593447,0.12879365965027553,0.10608249696197812
The Sentinel,The Interpreter,Vantage Point,Shooter,In Her Line of Fire,The X Files: I Want to Believe,0.26828017357679057,0.22132354759809464,0.19290334493780753,0.16465912234876753,0.1626928554483172
Planet 51,Meet Dave,Howard the Duck,Chuck & Buck,Escape from Planet Earth,Cast Away,0.1265081398250823,0.10088289703120192,0.10027500503390482,0.09703695121367248,0.09475394761364672
Star Trek: Nemesis,Star Trek: Insurrection,Star Trek: Generations,Star Trek: First Contact,Star Trek Beyond,Star Trek IV: The Voyage Home,0.3057207053406398,0.2542326010470415,0.15309118537879637,0.13615205767823668,0.11894333487540441
Intolerable Cruelty,Troop Beverly Hills,The Lincoln Lawyer,Slums of Beverly Hills,Beverly Hills Chihuahua,Anywhere But Here,0.25828759714146576,0.23241156097833987,0.15674201870642518,0.12881585350776514,0.11185891263773476
Trouble with the Curve,To Kill a Mockingbird,For Love of the Game,The Right Stuff,Just Wright,It's Kind of a Funny Story,0.19372558296402645,0.12495181945803042,0.11656363699104075,0.0882458779855271,0.0844424749078834
Edge of Darkness,Emma,Watchmen,The Saint,Murder by Numbers,A Man for All Seasons,0.2392219726566811,0.11901605677610902,0.11890802855658117,0.11572260594014712,0.11092007120506597
The Relic,House of Wax,Mad City,The Da Vinci Code,Scooby-Doo 2: Monsters Unleashed,Don McKay,0.15418487841590767,0.13526708293674122,0.09198414324329655,0.08968095417301845,0.0790506409151399
Analyze That,Analyze This,Police Academy: Mission to Moscow,Mindhunters,Hope Springs,The Muse,0.3322780582082364,0.12553437265484094,0.08606292798389491,0.08413370543482257,0.08075160655472396
Righteous Kill,Copycat,Suspect Zero,White Noise 2: The Light,Se7en,All Good Things,0.18170129791050676,0.15462277261982238,0.14539913383543973,0.1400981983314054,0.12750540282308587
Mercury Rising,The X Files: I Want to Believe,Slow West,The Imitation Game,Notes on a Scandal,R100,0.13811259246789964,0.12481938534362058,0.12271600068831928,0.11568113499679496,0.11490584623040638
The Soloist,Water & Power,Loser,Deadline - U.S.A.,Modern Times,The Devil Wears Prada,0.14305735901097102,0.1304150980319595,0.12660527997491047,0.118722902616304,0.10845945407282852
The Legend of Bagger Vance,Rounders,Lucky You,The Longshots,A Tale of Three Cities,Everything Must Go,0.13230260373863495,0.10372210688350444,0.08784957996511422,0.08580204384880324,0.08149965847994009
Almost Famous,Hedwig and the Angry Inch,The Doors,Danny Collins,Rock Star,Down & Out With The Dolls,0.20425239246193333,0.19724835907512195,0.19506477395102745,0.17268562493781542,0.14817202529237844
Garfield: A Tail of Two Kitties,Garfield,Muppets Most Wanted,Cats & Dogs 2 : The Revenge of Kitty Galore,Top Cat Begins,The Importance of Being Earnest,0.424744063123806,0.12167819979475385,0.0969022732983841,0.08244239497336447,0.07532635388075176
xXx: State of the Union,Shadow of the Vampire,Speed 2: Cruise Control,Point Break,Extreme Ops,Cube,0.1537888126740623,0.14130620964085738,0.12482050265990438,0.1227050093019581,0.11335118481322212
Priest,Blade II,Vampires,Underworld,The Dead Undead,The Prophecy,0.18925130812536733,0.17990032348792911,0.17757416537798415,0.16984559874183713,0.14948646275593538
